,# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,Year
26,ORV,G,Mike Conley,24.0,MEM,2.0,60.0,0.033,62.0,35.1,12.7,2.5,6.5,2.2,0.2,0.433,0.377,0.861,6.4,0.141,2.8,1.4,102.0,2012
27,ORV,G,Joe Johnson,30.0,ATL,2.0,60.0,0.033,60.0,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,6.4,0.145,2.1,-1.0,105.0,2012
28,ORV,F,Carlos Boozer,30.0,CHI,1.0,60.0,0.017,66.0,29.5,15.0,8.5,1.9,1.0,0.4,0.532,0.0,0.693,7.6,0.187,4.3,1.6,95.0,2012
29,ORV,G,Jrue Holiday,21.0,PHI,1.0,60.0,0.017,65.0,33.8,13.5,3.3,4.5,1.6,0.3,0.432,0.38,0.783,4.2,0.092,3.3,0.9,101.0,2012
30,ORV,F,Luc Mbah a Moute,25.0,MIL,1.0,60.0,0.017,43.0,23.5,7.7,5.3,0.7,0.9,0.5,0.51,0.25,0.641,2.4,0.112,1.1,0.1,104.0,2012
31,ORV,G,Derrick Rose,23.0,CHI,1.0,60.0,0.017,39.0,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6.0,0.211,2.0,0.3,101.0,2012
0,1st,G,Tony Allen,31.0,MEM,53.0,60.0,0.883,79.0,26.7,8.9,4.6,1.2,1.5,0.6,0.445,0.125,0.717,5.1,0.115,4.1,2.4,98.0,2013
1,1st,F,LeBron James,28.0,MIA,52.0,60.0,0.867,76.0,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,4.7,2.4,101.0,2013
2,1st,F,Serge Ibaka,23.0,OKC,46.0,60.0,0.767,80.0,31.1,13.2,7.7,0.5,0.4,3.0,0.573,0.351,0.749,9.4,0.181,4.1,0.7,101.0,2013
3,1st,G,Chris Paul,27.0,LAC,37.0,60.0,0.617,70.0,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287,3.4,2.4,102.0,2013
4,1st,C,Tyson Chandler,30.0,NYK,24.0,60.0,0.4,66.0,32.8,10.4,10.7,0.9,0.6,1.1,0.638,,0.694,9.3,0.207,2.6,-0.3,104.0,2013
5,1st,C,Joakim Noah,27.0,CHI,24.0,60.0,0.4,66.0,36.8,11.9,11.1,4.0,1.2,2.1,0.481,0.0,0.751,7.3,0.145,4.7,2.7,99.0,2013
7,2nd,F,Paul George,22.0,IND,27.0,60.0,0.45,79.0,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,9.0,0.145,6.3,2.3,97.0,2013
8,2nd,G,Avery Bradley,22.0,BOS,25.0,60.0,0.417,50.0,28.7,9.2,2.2,2.1,1.3,0.4,0.402,0.317,0.755,0.4,0.012,1.6,0.3,105.0,2013
9,2nd,F,Tim Duncan,36.0,SAS,20.0,60.0,0.333,69.0,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191,4.9,2.9,95.0,2013
10,2nd,G,Mike Conley,25.0,MEM,19.0,60.0,0.317,80.0,34.5,14.6,2.8,6.1,2.2,0.3,0.44,0.362,0.83,9.9,0.172,4.7,2.3,100.0,2013
11,2nd,C,Marc Gasol,28.0,MEM,12.0,60.0,0.2,80.0,35.0,14.1,7.8,4.0,1.0,1.7,0.494,0.071,0.848,11.5,0.197,5.4,3.1,98.0,2013
13,ORV,F,Andre Iguodala,29.0,DEN,16.0,60.0,0.267,80.0,34.7,13.0,5.3,5.4,1.7,0.7,0.451,0.317,0.574,5.6,0.097,3.2,1.4,105.0,2013
14,ORV,C,Larry Sanders,24.0,MIL,16.0,60.0,0.267,71.0,27.3,9.8,9.5,1.2,0.7,2.8,0.506,0.0,0.618,6.0,0.149,3.7,2.0,99.0,2013
15,ORV,G,Thabo Sefolosha,28.0,OKC,15.0,60.0,0.25,81.0,27.5,7.6,3.9,1.5,1.3,0.5,0.481,0.419,0.826,6.8,0.146,3.1,1.8,103.0,2013
16,ORV,F,Luol Deng,27.0,CHI,11.0,60.0,0.183,75.0,38.7,16.5,6.3,3.0,1.1,0.4,0.426,0.322,0.816,6.3,0.105,3.3,-0.3,105.0,2013
17,ORV,C,Dwight Howard,27.0,LAL,9.0,60.0,0.15,76.0,35.8,17.1,12.4,1.4,1.1,2.4,0.578,0.167,0.492,7.6,0.134,4.8,1.1,100.0,2013
18,ORV,G,Kobe Bryant,34.0,LAL,6.0,60.0,0.1,78.0,38.6,27.3,5.6,6.0,1.4,0.3,0.463,0.324,0.839,10.9,0.174,2.6,-0.1,107.0,2013
19,ORV,C,Roy Hibbert,26.0,IND,6.0,60.0,0.1,79.0,28.7,11.9,8.3,1.4,0.5,2.6,0.448,0.25,0.741,6.1,0.129,4.9,1.4,97.0,2013
20,ORV,F,Kenneth Faried,23.0,DEN,4.0,60.0,0.067,80.0,28.1,11.5,9.2,1.0,1.0,1.0,0.552,,0.613,7.8,0.167,3.4,0.2,102.0,2013
21,ORV,G,Russell Westbrook,24.0,OKC,4.0,60.0,0.067,82.0,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195,3.9,-0.2,103.0,2013
22,ORV,F,Shane Battier,34.0,MIA,2.0,60.0,0.033,72.0,24.8,6.6,2.3,1.0,0.6,0.8,0.42,0.43,0.842,4.4,0.119,1.6,0.1,107.0,2013
23,ORV,F,Nicolas Batum,24.0,POR,2.0,60.0,0.033,73.0,38.5,14.3,5.6,4.9,1.2,1.1,0.423,0.372,0.848,5.8,0.099,1.9,0.5,109.0,2013
24,ORV,F,Corey Brewer,26.0,DEN,2.0,60.0,0.033,82.0,24.4,12.1,2.9,1.5,1.4,0.3,0.425,0.296,0.69,3.9,0.093,2.2,0.6,105.0,2013
25,ORV,G,George Hill,26.0,IND,2.0,60.0,0.033,76.0,34.5,14.2,3.7,4.7,1.1,0.3,0.443,0.368,0.817,9.7,0.177,3.8,1.1,102.0,2013
26,ORV,G,Mike James,37.0,DAL,2.0,60.0,0.033,45.0,19.2,6.1,1.6,3.1,0.6,0.1,0.373,0.384,0.793,0.4,0.024,0.5,-1.0,110.0,2013
27,ORV,F,Kawhi Leonard,21.0,SAS,2.0,60.0,0.033,58.0,31.2,11.9,6.0,1.6,1.7,0.6,0.494,0.374,0.825,6.2,0.166,3.3,2.0,99.0,2013
28,ORV,G,Tony Parker,30.0,SAS,2.0,60.0,0.033,66.0,32.9,20.3,3.0,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206,2.3,-0.5,106.0,2013
29,ORV,G,Dwyane Wade,31.0,MIA,2.0,60.0,0.033,69.0,34.7,21.2,5.0,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192,3.5,0.7,103.0,2013
30,ORV,F,Metta World Peace,33.0,LAL,2.0,60.0,0.033,75.0,33.7,12.4,5.0,1.5,1.6,0.6,0.403,0.342,0.734,4.6,0.086,2.6,0.9,106.0,2013
31,ORV,G,Eric Bledsoe,23.0,LAC,1.0,60.0,0.017,76.0,20.4,8.5,3.0,3.1,1.4,0.7,0.445,0.397,0.791,3.7,0.115,2.6,2.2,101.0,2013
32,ORV,F,Kevin Durant,24.0,OKC,1.0,60.0,0.017,81.0,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,5.3,1.7,100.0,2013
33,ORV,G,Jrue Holiday,22.0,PHI,1.0,60.0,0.017,78.0,37.5,17.7,4.2,8.0,1.6,0.4,0.431,0.368,0.752,3.3,0.055,2.7,-0.7,107.0,2013
34,ORV,F,Andrei Kirilenko,31.0,MIN,1.0,60.0,0.017,64.0,31.8,12.4,5.7,2.8,1.5,1.0,0.507,0.292,0.752,6.0,0.142,2.6,1.8,104.0,2013
35,ORV,G,Iman Shumpert,22.0,NYK,1.0,60.0,0.017,45.0,22.1,6.8,3.0,1.7,1.0,0.2,0.396,0.402,0.766,1.9,0.094,1.0,0.7,106.0,2013
36,ORV,F,David West,32.0,IND,1.0,60.0,0.017,73.0,33.4,17.1,7.7,2.9,1.0,0.9,0.498,0.211,0.768,9.1,0.179,4.7,1.5,99.0,2013
0,1st,C,Joakim Noah,28.0,CHI,223.0,246.0,0.907,80.0,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0.0,0.737,11.2,0.19,6.6,3.6,96.0,2014
1,1st,F,Paul George,23.0,IND,161.0,246.0,0.654,80.0,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178,6.4,2.1,97.0,2014
2,1st,G,Chris Paul,28.0,LAC,156.0,246.0,0.634,62.0,35.0,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27,3.2,2.6,103.0,2014
3,1st,F,Serge Ibaka,24.0,OKC,152.0,246.0,0.618,81.0,32.9,15.1,8.8,1.0,0.5,2.7,0.536,0.383,0.784,9.6,0.173,4.4,0.6,102.0,2014
4,1st,G,Andre Iguodala,30.0,GSW,148.0,246.0,0.602,63.0,32.4,9.3,4.7,4.2,1.5,0.3,0.48,0.354,0.652,5.8,0.135,3.1,2.4,103.0,2014
6,2nd,F,LeBron James,29.0,MIA,134.0,246.0,0.545,77.0,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,3.7,1.1,105.0,2014
7,2nd,G,Patrick Beverley,25.0,HOU,112.0,246.0,0.455,56.0,31.3,10.2,3.5,2.7,1.4,0.4,0.414,0.361,0.814,4.2,0.116,1.6,0.9,108.0,2014
8,2nd,G,Jimmy Butler,24.0,CHI,103.0,246.0,0.419,67.0,38.7,13.1,4.9,2.6,1.9,0.5,0.397,0.283,0.769,7.1,0.131,4.6,2.0,100.0,2014
9,2nd,F,Kawhi Leonard,22.0,SAS,89.0,246.0,0.362,66.0,29.1,12.8,6.2,2.0,1.7,0.8,0.522,0.379,0.802,7.7,0.193,3.9,3.0,98.0,2014
10,2nd,C,Roy Hibbert,27.0,IND,76.0,246.0,0.309,81.0,29.7,10.8,6.6,1.1,0.4,2.2,0.439,0.4,0.77,5.4,0.108,5.0,1.5,98.0,2014
12,ORV,C,DeAndre Jordan,25.0,LAC,63.0,246.0,0.256,82.0,35.0,10.4,13.6,0.9,1.0,2.5,0.676,,0.428,11.1,0.186,5.8,1.6,98.0,2014
13,ORV,F,Anthony Davis,20.0,NOP,62.0,246.0,0.252,67.0,35.2,20.8,10.0,1.6,1.3,2.8,0.519,0.222,0.791,10.4,0.212,3.2,0.8,104.0,2014
14,ORV,G,Tony Allen,32.0,MEM,60.0,246.0,0.244,55.0,23.2,9.0,3.8,1.7,1.6,0.3,0.494,0.234,0.628,2.7,0.1,2.1,2.1,101.0,2014
15,ORV,C,Tim Duncan,37.0,SAS,45.0,246.0,0.183,74.0,29.2,15.1,9.7,3.0,0.6,1.9,0.49,0.0,0.731,7.4,0.164,4.6,2.1,98.0,2014
16,ORV,C,Dwight Howard,28.0,HOU,26.0,246.0,0.106,71.0,33.7,18.3,12.2,1.8,0.8,1.8,0.591,0.286,0.547,8.0,0.161,4.1,0.8,101.0,2014
17,ORV,G,Mike Conley,26.0,MEM,21.0,246.0,0.085,73.0,33.5,17.2,2.9,6.0,1.5,0.2,0.45,0.361,0.815,8.2,0.161,2.7,0.3,106.0,2014
18,ORV,F,Taj Gibson,28.0,CHI,21.0,246.0,0.085,82.0,28.7,13.0,6.8,1.1,0.5,1.4,0.479,0.0,0.751,5.7,0.117,4.4,0.4,100.0,2014
19,ORV,G,Ricky Rubio,23.0,MIN,19.0,246.0,0.077,82.0,32.2,9.5,4.2,8.6,2.3,0.1,0.381,0.331,0.802,5.9,0.107,3.6,1.7,104.0,2014
20,ORV,G,Lance Stephenson,23.0,IND,14.0,246.0,0.057,78.0,35.3,13.8,7.2,4.6,0.7,0.1,0.491,0.352,0.711,7.4,0.13,4.8,1.0,101.0,2014
21,ORV,F,P.J. Tucker,28.0,PHO,13.0,246.0,0.053,81.0,30.7,9.4,6.5,1.7,1.4,0.3,0.431,0.387,0.776,6.1,0.117,2.8,0.9,106.0,2014
22,ORV,F,Kevin Durant,25.0,OKC,10.0,246.0,0.041,81.0,38.5,32.0,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,4.4,1.4,104.0,2014
23,ORV,G,Kyle Lowry,27.0,TOR,10.0,246.0,0.041,79.0,36.2,17.9,4.7,7.4,1.5,0.2,0.423,0.38,0.813,11.7,0.197,3.3,0.6,106.0,2014
24,ORV,G,Eric Bledsoe,24.0,PHO,9.0,246.0,0.037,43.0,32.9,17.7,4.7,5.5,1.6,0.3,0.477,0.357,0.772,4.1,0.14,1.6,0.7,106.0,2014
25,ORV,C,Marc Gasol,29.0,MEM,8.0,246.0,0.033,59.0,33.4,14.6,7.2,3.6,1.0,1.3,0.473,0.182,0.768,5.6,0.137,3.1,2.0,102.0,2014
26,ORV,G,Thabo Sefolosha,29.0,OKC,8.0,246.0,0.033,61.0,26.0,6.3,3.6,1.5,1.3,0.3,0.415,0.316,0.768,3.0,0.092,2.1,1.5,104.0,2014
27,ORV,G,John Wall,23.0,WAS,8.0,246.0,0.033,82.0,36.3,19.3,4.1,8.8,1.8,0.5,0.433,0.351,0.805,7.9,0.128,4.0,0.4,104.0,2014
28,ORV,G,Kirk Hinrich,33.0,CHI,7.0,246.0,0.028,73.0,29.0,9.1,2.6,3.9,1.1,0.4,0.393,0.351,0.76,3.8,0.085,3.3,1.4,102.0,2014
29,ORV,F,Trevor Ariza,28.0,WAS,5.0,246.0,0.02,77.0,35.4,14.4,6.2,2.5,1.6,0.3,0.456,0.407,0.772,8.0,0.141,3.7,1.0,104.0,2014
30,ORV,G,Avery Bradley,23.0,BOS,5.0,246.0,0.02,60.0,30.9,14.9,3.8,1.4,1.1,0.2,0.438,0.395,0.804,1.8,0.046,1.4,-0.8,109.0,2014
31,ORV,G,Klay Thompson,23.0,GSW,5.0,246.0,0.02,81.0,35.4,18.4,3.1,2.2,0.9,0.5,0.444,0.417,0.795,6.7,0.112,3.2,-0.1,106.0,2014
32,ORV,G,Russell Westbrook,25.0,OKC,5.0,246.0,0.02,46.0,30.7,21.8,5.7,6.9,1.9,0.2,0.437,0.318,0.826,5.2,0.178,2.3,0.7,102.0,2014
33,ORV,C,Andrew Bogut,29.0,GSW,4.0,246.0,0.016,67.0,26.4,7.3,10.0,1.7,0.7,1.8,0.627,,0.344,6.5,0.176,4.0,3.2,96.0,2014
34,ORV,C,Chris Bosh,29.0,MIA,4.0,246.0,0.016,79.0,32.0,16.2,6.6,1.1,1.0,1.0,0.516,0.339,0.82,8.0,0.152,3.4,-0.4,104.0,2014
35,ORV,F,Luol Deng,28.0,TOT,4.0,246.0,0.016,63.0,35.1,16.0,5.7,2.9,1.0,0.1,0.431,0.302,0.791,4.5,0.098,2.3,-0.1,107.0,2014
36,ORV,G,Wesley Matthews,27.0,POR,4.0,246.0,0.016,82.0,33.9,16.4,3.5,2.4,0.9,0.2,0.441,0.393,0.837,8.2,0.142,1.9,0.1,110.0,2014
37,ORV,G,Tony Parker,31.0,SAS,4.0,246.0,0.016,68.0,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141,1.9,-1.2,107.0,2014
38,ORV,F,Nicolas Batum,25.0,POR,3.0,246.0,0.012,82.0,36.0,13.0,7.5,5.1,0.9,0.7,0.465,0.361,0.803,7.9,0.128,3.1,1.2,106.0,2014
39,ORV,G,Stephen Curry,25.0,GSW,3.0,246.0,0.012,78.0,36.5,24.0,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225,4.0,1.1,104.0,2014
40,ORV,G,Danny Green,26.0,SAS,3.0,246.0,0.012,68.0,24.3,9.1,3.4,1.5,1.0,0.9,0.432,0.415,0.794,4.2,0.122,2.8,2.0,101.0,2014
41,ORV,F,Michael Kidd-Gilchrist,20.0,CHA,3.0,246.0,0.012,62.0,24.2,7.2,5.2,0.8,0.7,0.6,0.473,0.111,0.614,3.1,0.098,2.2,0.8,103.0,2014
42,ORV,G,Shaun Livingston,28.0,BRK,3.0,246.0,0.012,76.0,26.0,8.3,3.2,3.2,1.2,0.4,0.483,0.167,0.827,4.4,0.108,1.8,1.1,108.0,2014
43,ORV,G,Victor Oladipo,21.0,ORL,3.0,246.0,0.012,80.0,31.1,13.8,4.1,4.1,1.6,0.5,0.419,0.327,0.78,1.3,0.026,2.8,0.4,106.0,2014
44,ORV,F,Matt Barnes,33.0,LAC,2.0,246.0,0.008,63.0,27.5,9.9,4.6,2.0,0.9,0.4,0.438,0.343,0.733,3.5,0.097,2.0,0.2,106.0,2014
45,ORV,F,DeMarre Carroll,27.0,ATL,2.0,246.0,0.008,73.0,32.1,11.1,5.5,1.8,1.5,0.3,0.47,0.362,0.773,5.8,0.119,2.6,0.7,106.0,2014
46,ORV,G,James Harden,24.0,HOU,2.0,246.0,0.008,73.0,38.0,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,2.7,0.2,107.0,2014
47,ORV,G,George Hill,27.0,IND,2.0,246.0,0.008,76.0,32.0,10.3,3.7,3.5,1.0,0.3,0.442,0.365,0.807,7.8,0.154,4.0,1.7,102.0,2014
48,ORV,G,Jeff Teague,25.0,ATL,2.0,246.0,0.008,79.0,32.2,16.5,2.6,6.7,1.1,0.2,0.438,0.329,0.846,5.2,0.098,1.9,-1.3,109.0,2014
49,ORV,G,Dwyane Wade,32.0,MIA,2.0,246.0,0.008,54.0,32.9,19.0,4.5,4.7,1.5,0.5,0.545,0.281,0.733,5.5,0.149,2.0,0.0,106.0,2014
50,ORV,G,Kemba Walker,23.0,CHA,2.0,246.0,0.008,73.0,35.8,17.7,4.2,6.1,1.2,0.4,0.393,0.333,0.837,5.1,0.093,3.3,0.3,105.0,2014
51,ORV,F,David West,33.0,IND,2.0,246.0,0.008,80.0,30.9,14.0,6.8,2.8,0.8,0.9,0.488,0.267,0.789,8.1,0.157,5.0,1.8,99.0,2014
52,ORV,G,Arron Afflalo,28.0,ORL,1.0,246.0,0.004,73.0,35.0,18.2,3.6,3.4,0.5,0.0,0.459,0.427,0.815,5.3,0.099,1.0,-1.6,112.0,2014
53,ORV,F,Corey Brewer,27.0,MIN,1.0,246.0,0.004,81.0,32.2,12.3,2.6,1.7,1.9,0.4,0.481,0.28,0.718,5.2,0.095,2.7,1.5,107.0,2014
54,ORV,G,Michael Carter-Williams,22.0,PHI,1.0,246.0,0.004,70.0,34.5,16.7,6.2,6.3,1.9,0.6,0.405,0.264,0.703,1.3,0.026,2.1,-0.2,108.0,2014
55,ORV,G,Darren Collison,26.0,LAC,1.0,246.0,0.004,80.0,25.9,11.4,2.4,3.7,1.2,0.2,0.467,0.376,0.857,5.9,0.136,2.0,0.4,107.0,2014
56,ORV,G,DeMar DeRozan,24.0,TOR,1.0,246.0,0.004,79.0,38.2,22.7,4.3,4.0,1.1,0.4,0.429,0.305,0.824,8.8,0.141,3.0,-0.3,107.0,2014
57,ORV,C,Andre Drummond,20.0,DET,1.0,246.0,0.004,81.0,32.3,13.5,13.2,0.4,1.2,1.6,0.623,0.0,0.418,9.9,0.182,3.5,-0.6,104.0,2014
58,ORV,G,Monta Ellis,28.0,DAL,1.0,246.0,0.004,82.0,36.9,19.0,3.6,5.7,1.7,0.3,0.451,0.33,0.788,4.9,0.078,2.1,-0.5,109.0,2014
59,ORV,F,Danny Granger,30.0,TOT,1.0,246.0,0.004,41.0,20.7,8.2,3.2,1.0,0.3,0.4,0.378,0.336,0.94,1.3,0.073,1.2,-0.1,103.0,2014
60,ORV,F,Draymond Green,23.0,GSW,1.0,246.0,0.004,82.0,21.9,6.2,5.0,1.9,1.2,0.9,0.407,0.333,0.667,4.5,0.119,3.8,3.6,98.0,2014
61,ORV,G,Reggie Jackson,23.0,OKC,1.0,246.0,0.004,80.0,28.5,13.1,3.9,4.1,1.1,0.1,0.44,0.339,0.893,4.9,0.104,2.6,-0.3,106.0,2014
62,ORV,F,David Lee,30.0,GSW,1.0,246.0,0.004,69.0,33.2,18.2,9.3,2.1,0.7,0.4,0.523,0.0,0.78,7.6,0.16,3.5,0.3,103.0,2014
63,ORV,F,Paul Millsap,28.0,ATL,1.0,246.0,0.004,74.0,33.5,17.9,8.5,3.1,1.7,1.1,0.461,0.358,0.731,6.7,0.129,4.0,1.3,102.0,2014
64,ORV,G,Rajon Rondo,27.0,BOS,1.0,246.0,0.004,30.0,33.3,11.7,5.5,9.8,1.3,0.1,0.403,0.289,0.627,1.1,0.054,1.0,-0.6,107.0,2014
0,1st,F,Kawhi Leonard,23.0,SAS,242.0,258.0,0.938,64.0,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,4.4,3.1,96.0,2015
1,1st,F,Draymond Green,24.0,GSW,229.0,258.0,0.888,79.0,31.5,11.7,8.2,3.7,1.6,1.3,0.443,0.337,0.66,8.5,0.163,5.2,2.8,97.0,2015
2,1st,G,Tony Allen,33.0,MEM,207.0,258.0,0.802,63.0,26.2,8.6,4.4,1.4,2.0,0.5,0.495,0.345,0.627,4.1,0.119,3.2,3.1,98.0,2015
3,1st,C,DeAndre Jordan,26.0,LAC,187.0,258.0,0.725,82.0,34.4,11.5,15.0,0.7,1.0,2.2,0.71,0.25,0.397,12.8,0.217,5.4,0.7,98.0,2015
4,1st,G,Chris Paul,29.0,LAC,170.0,258.0,0.659,82.0,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,3.2,1.6,105.0,2015
6,2nd,F,Anthony Davis,21.0,NOP,155.0,258.0,0.601,68.0,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14.0,0.274,4.2,2.3,100.0,2015
7,2nd,G,Jimmy Butler,25.0,CHI,132.0,258.0,0.512,65.0,38.7,20.0,5.8,3.3,1.8,0.6,0.462,0.378,0.834,11.2,0.214,3.0,1.2,104.0,2015
8,2nd,C,Andrew Bogut,30.0,GSW,102.0,258.0,0.395,67.0,23.6,6.3,8.1,2.7,0.6,1.7,0.563,,0.524,5.2,0.159,3.4,3.3,97.0,2015
9,2nd,G,John Wall,24.0,WAS,67.0,258.0,0.26,79.0,35.9,17.6,4.6,10.0,1.7,0.6,0.445,0.3,0.785,7.8,0.132,4.2,1.0,102.0,2015
10,2nd,F,Tim Duncan,38.0,SAS,64.0,258.0,0.248,77.0,28.9,13.9,9.1,3.0,0.8,2.0,0.512,0.286,0.74,9.6,0.207,4.7,2.8,97.0,2015
12,ORV,C,Rudy Gobert,22.0,UTA,54.0,258.0,0.209,82.0,26.3,8.4,9.5,1.3,0.8,2.3,0.604,0.0,0.623,9.3,0.206,4.3,2.5,98.0,2015
13,ORV,F,LeBron James,30.0,CLE,47.0,258.0,0.182,69.0,36.1,25.3,6.0,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,2.9,1.0,105.0,2015
14,ORV,G,Russell Westbrook,26.0,OKC,35.0,258.0,0.136,67.0,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,3.2,1.2,103.0,2015
15,ORV,G,Avery Bradley,24.0,BOS,26.0,258.0,0.101,77.0,31.5,13.9,3.1,1.8,1.1,0.2,0.429,0.352,0.79,2.5,0.049,2.1,-0.6,107.0,2015
16,ORV,F,Michael Kidd-Gilchrist,21.0,CHO,21.0,258.0,0.081,55.0,28.9,10.9,7.6,1.4,0.5,0.7,0.465,,0.701,3.8,0.114,2.2,0.6,103.0,2015
17,ORV,G,Klay Thompson,24.0,GSW,19.0,258.0,0.074,77.0,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172,3.1,-0.1,104.0,2015
18,ORV,C,Marc Gasol,30.0,MEM,18.0,258.0,0.07,81.0,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,4.7,2.4,100.0,2015
19,ORV,G,Danny Green,27.0,SAS,18.0,258.0,0.07,81.0,28.5,11.7,4.2,2.0,1.2,1.1,0.436,0.418,0.874,7.8,0.163,3.9,2.0,100.0,2015
20,ORV,F,Trevor Ariza,29.0,HOU,17.0,258.0,0.066,82.0,35.7,12.8,5.6,2.5,1.9,0.2,0.402,0.35,0.853,6.6,0.108,3.9,1.1,103.0,2015
21,ORV,G,Stephen Curry,26.0,GSW,14.0,258.0,0.054,80.0,32.7,23.8,4.3,7.7,2.0,0.2,0.487,0.443,0.914,15.7,0.288,4.1,1.7,101.0,2015
22,ORV,F,DeMarre Carroll,28.0,ATL,11.0,258.0,0.043,70.0,31.3,12.6,5.3,1.7,1.3,0.2,0.487,0.395,0.702,7.0,0.154,2.8,0.4,104.0,2015
23,ORV,G,Patrick Beverley,26.0,HOU,10.0,258.0,0.039,56.0,30.8,10.1,4.2,3.4,1.1,0.4,0.383,0.356,0.75,3.5,0.096,1.8,0.5,106.0,2015
24,ORV,F,Khris Middleton,23.0,MIL,9.0,258.0,0.035,79.0,30.1,13.4,4.4,2.3,1.5,0.1,0.467,0.407,0.859,6.7,0.135,3.5,1.1,102.0,2015
25,ORV,F,Serge Ibaka,25.0,OKC,8.0,258.0,0.031,64.0,33.1,14.3,7.8,0.9,0.5,2.4,0.476,0.376,0.836,5.6,0.127,2.7,0.4,104.0,2015
26,ORV,F,Andre Iguodala,31.0,GSW,8.0,258.0,0.031,77.0,26.9,7.8,3.3,3.0,1.2,0.3,0.466,0.349,0.596,5.1,0.117,2.8,1.4,103.0,2015
27,ORV,F,Paul Millsap,29.0,ATL,8.0,258.0,0.031,73.0,32.7,16.7,7.8,3.1,1.8,0.9,0.476,0.356,0.757,8.3,0.166,4.3,1.7,99.0,2015
28,ORV,G,Jeff Teague,26.0,ATL,7.0,258.0,0.027,73.0,30.5,15.9,2.5,7.0,1.7,0.4,0.46,0.343,0.862,7.7,0.166,2.8,0.3,104.0,2015
29,ORV,G,Mike Conley,27.0,MEM,6.0,258.0,0.023,70.0,31.8,15.8,3.0,5.4,1.3,0.2,0.446,0.386,0.859,6.8,0.147,2.7,0.2,104.0,2015
30,ORV,C,Joakim Noah,29.0,CHI,6.0,258.0,0.023,67.0,30.6,7.2,9.6,4.7,0.7,1.1,0.445,0.0,0.603,5.6,0.13,3.1,2.0,102.0,2015
31,ORV,C,Nerlens Noel,20.0,PHI,5.0,258.0,0.019,75.0,30.8,9.9,8.1,1.7,1.8,1.9,0.462,,0.609,4.0,0.083,4.2,2.3,99.0,2015
32,ORV,F,P.J. Tucker,29.0,PHO,4.0,258.0,0.016,78.0,30.6,9.1,6.4,1.6,1.4,0.3,0.438,0.345,0.727,4.9,0.098,2.7,1.0,105.0,2015
33,ORV,F,Giannis Antetokounmpo,20.0,MIL,3.0,258.0,0.012,81.0,31.4,12.7,6.7,2.6,0.9,1.0,0.491,0.159,0.741,6.2,0.117,4.0,1.2,101.0,2015
34,ORV,C,Pau Gasol,34.0,CHI,3.0,258.0,0.012,78.0,34.4,18.5,11.8,2.7,0.3,1.9,0.494,0.462,0.803,10.4,0.187,4.4,0.6,101.0,2015
35,ORV,G,Wesley Matthews,28.0,POR,3.0,258.0,0.012,60.0,33.7,15.9,3.7,2.3,1.3,0.2,0.448,0.389,0.752,6.2,0.147,2.2,1.1,105.0,2015
36,ORV,G,James Harden,25.0,HOU,2.0,258.0,0.008,81.0,36.8,27.4,5.7,7.0,1.9,0.7,0.44,0.375,0.868,16.4,0.265,4.2,1.8,103.0,2015
37,ORV,G,Marcus Smart,20.0,BOS,2.0,258.0,0.008,67.0,27.0,7.8,3.3,3.1,1.5,0.3,0.367,0.335,0.646,2.9,0.077,2.2,1.5,104.0,2015
